Thread ID: 70321780771280
Fiber ID: 70321808515740
Total: 0.000000
Sort by: self_time

 %self      total      self      wait     child     calls  name
   NaN      0.000     0.000     0.000     0.000       45   ActiveSupport::Notifications::Fanout::Subscriber#matches? 
   NaN      0.000     0.000     0.000     0.000        2   ActiveSupport::Notifications::Fanout#unsubscribe 
   NaN      0.000     0.000     0.000     0.000        2   <Module::ActiveSupport::Notifications>#unsubscribe 
   NaN      0.000     0.000     0.000     0.000        1   ActionController::TemplateAssertions#teardown_subscriptions 
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::ConnectionPool#release 
   NaN      0.000     0.000     0.000     0.000        1   Mutex#synchronize 
   NaN      0.000     0.000     0.000     0.000        1   ConditionVariable#signal 
   NaN      0.000     0.000     0.000     0.000        1   MonitorMixin::ConditionVariable#signal 
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::AbstractAdapter#expire 
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::PostgreSQLAdapter#_run__4211075572751328150__checkin__4286204378610978101__callbacks 
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::AbstractAdapter#_run_checkin_callbacks 
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::ConnectionPool#checkin 
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::ConnectionPool#release_connection 
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::ConnectionHandler#clear_active_connections! 
   NaN      0.000     0.000     0.000     0.000        2  *<Class::ActiveRecord::Base>#clear_active_connections! 
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::AbstractAdapter#decrement_open_transactions 
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::PostgreSQLAdapter#rollback_db_transaction 
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::TestFixtures#teardown_fixtures 
   NaN      0.000     0.000     0.000     0.000        1   BrowsingTest#_run__446260179275634336__teardown__2680399561616373413__callbacks 
   NaN      0.000     0.000     0.000     0.000        1   ActiveSupport::TestCase#_run_teardown_callbacks 
   NaN      0.000     0.000     0.000     0.000        1   MiniTest::Unit::TestCase#teardown 
   NaN      0.000     0.000     0.000     0.000        1   ActionDispatch::Integration::Runner#copy_session_variables! 
   NaN      0.000     0.000     0.000     0.000        1   Rack::MockResponse#body 
   NaN      0.000     0.000     0.000     0.000        2   Rack::MockSession#last_request 
   NaN      0.000     0.000     0.000     0.000        2   Rack::Test::Session#last_request 
   NaN      0.000     0.000     0.000     0.000        2   Rack::Test::Session#last_response 
   NaN      0.000     0.000     0.000     0.000        1   Rack::Test::Session#retry_with_digest_auth? 
   NaN      0.000     0.000     0.000     0.000        1   Rack::Response#finish 
   NaN      0.000     0.000     0.000     0.000        1   Rack::Test::CookieJar#merge 
   NaN      0.000     0.000     0.000     0.000        4   Rack::MockSession#last_response 
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::QueryCache#disable_query_cache! 
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::QueryCache#clear_query_cache 
   NaN      0.000     0.000     0.000     0.000        1   <Class::ActiveRecord::Base>#connection_id= 
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::QueryCache::BodyProxy#close 
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::ConnectionManagement::Proxy#close 
   NaN      0.000     0.000     0.000     0.000        1   Rack::BodyProxy#close 
   NaN      0.000     0.000     0.000     0.000        1   String#bytesize 
   NaN      0.000     0.000     0.000     0.000        1   Rack::Utils#bytesize 
   NaN      0.000     0.000     0.000     0.000        1   Rack::Response#write 
   NaN      0.000     0.000     0.000     0.000        2   ActiveSupport::SafeBuffer#to_s 
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::QueryCache::BodyProxy#each 
   NaN      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::ConnectionManagement::Proxy#each 
   NaN      0.000     0.000     0.000     0.000        1   Rack::BodyProxy#each 
   NaN      0.000     0.000     0.000     0.000        2   ActiveRecord::QueryCache::BodyProxy#respond_to? 
   NaN      0.000     0.000     0.000     0.000        2   ActiveRecord::ConnectionAdapters::ConnectionManagement::Proxy#respond_to? 
   NaN      0.000     0.000     0.000     0.000        3   Rack::BodyProxy#respond_to? 
   NaN      0.000     0.000     0.000     0.000        1   Kernel#lambda 
   NaN      0.000     0.000     0.000     0.000        1   Rack::Utils::HeaderHash#each 
   NaN      0.000     0.000     0.000     0.000        1   Rack::Utils::HeaderHash#merge! 
   NaN      0.000     0.000     0.000     0.000        1   Rack::Utils::HeaderHash#merge 
   NaN      0.000     0.000     0.000     0.000        1   Rack::Response#initialize 
   NaN      0.000     0.000     0.000     0.000        1   StringIO#string 
   NaN      0.000     0.000     0.000     0.000        1   Rack::MockResponse#initialize 
   NaN      0.000     0.000     0.000     0.000        1   StringIO#flush 
   NaN      0.000     0.000     0.000     0.000        1   Array#[]= 
   NaN      0.000     0.000     0.000     0.000        2   Rack::BodyProxy#initialize 
   NaN      0.000     0.000     0.000     0.000        1   Rack::Utils::HeaderHash#include? 
