Thread ID: 70321780771280
Fiber ID: 70321808515740
Total: 0.019491
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.22      0.000     0.000     0.000     0.000        3   ActiveSupport::TaggedLogging#add 
  0.22      0.000     0.000     0.000     0.000       16   String#== 
  0.22      0.000     0.000     0.000     0.000        4   ActiveSupport::HashWithIndifferentAccess#initialize 
  0.21      0.000     0.000     0.000     0.000        2   ActionDispatch::Response#initialize 
  0.21      0.000     0.000     0.000     0.000        4   Sprockets::Helpers::RailsHelper::AssetPaths#rewrite_extension 
  0.21      0.018     0.000     0.000     0.018        1   ActiveSupport::Testing::Performance::Metrics::Base#profile 
  0.21      0.000     0.000     0.000     0.000        4   <Module::ActiveSupport::Notifications>#instrumenter 
  0.21      0.000     0.000     0.000     0.000        4   ActiveSupport::Notifications::Event#initialize 
  0.20      0.000     0.000     0.000     0.000       21   <Class::String>#allocate 
  0.20      0.001     0.000     0.000     0.001        3   ActionDispatch::Http::Parameters#parameters 
  0.19      0.000     0.000     0.000     0.000        1   Rack::Request#POST 
  0.19      0.000     0.000     0.000     0.000        8  *AbstractController::ViewPaths#lookup_context 
  0.19      0.000     0.000     0.000     0.000        2   Rack::Request#ip 
  0.19      0.000     0.000     0.000     0.000        1   ActionView::Base#initialize 
  0.19      0.000     0.000     0.000     0.000       21   Array#empty? 
  0.19      0.000     0.000     0.000     0.000       16   MonitorMixin#mon_check_owner 
  0.19      0.000     0.000     0.000     0.000        7   Rack::Utils::HeaderHash#[] 
  0.19      0.000     0.000     0.000     0.000       19   Kernel#nil? 
  0.18      0.009     0.000     0.000     0.009        1   ActionController::Instrumentation#process_action 
  0.18      0.000     0.000     0.000     0.000        6   ActiveSupport::Inflector#inflections 
  0.18      0.000     0.000     0.000     0.000        8   Object#present? 
  0.18      0.000     0.000     0.000     0.000        6   Time#minus_with_coercion 
  0.18      0.000     0.000     0.000     0.000       21   Hash#delete 
  0.18      0.000     0.000     0.000     0.000       60  *ActiveSupport::OrderedOptions#_get 
  0.18      0.000     0.000     0.000     0.000        1   Rack::Response#initialize 
  0.17      0.000     0.000     0.000     0.000        1   Rack::Utils#parse_query 
  0.17      0.000     0.000     0.000     0.000        9   String#gsub 
  0.17      0.011     0.000     0.000     0.011        1   AbstractController::Rendering#process 
  0.17      0.000     0.000     0.000     0.000        1   ActiveRecord::TestFixtures#setup_fixtures 
  0.17      0.000     0.000     0.000     0.000        1   ActionController::LogSubscriber#process_action 
  0.17      0.000     0.000     0.000     0.000        6   <Class::ActionController::Base>#logger 
  0.17      0.000     0.000     0.000     0.000       16   Hash#include? 
  0.17      0.000     0.000     0.000     0.000        5   URI::Generic#set_userinfo 
  0.17      0.000     0.000     0.000     0.000        1   Time#to_default_s 
  0.17      0.000     0.000     0.000     0.000       10   Array#join 
  0.17      0.000     0.000     0.000     0.000       21   <Class::Time>#allocate 
  0.17      0.000     0.000     0.000     0.000        7   URI::Generic#set_port 
  0.16      0.011     0.000     0.000     0.011        7  *Proc#call 
  0.16      0.000     0.000     0.000     0.000        6   Array#== 
  0.16      0.000     0.000     0.000     0.000        8   URI::Generic#default_port 
  0.16      0.001     0.000     0.000     0.001       10   ActiveSupport::Notifications::Fanout#listeners_for 
  0.16      0.000     0.000     0.000     0.000        8  *<Class::ActiveRecord::Base>#retrieve_connection 
  0.16      0.000     0.000     0.000     0.000        3   Sprockets::Helpers::RailsHelper#compile_assets? 
  0.16      0.000     0.000     0.000     0.000       13   <Module::Rails>#application 
  0.16      0.000     0.000     0.000     0.000        1   IPAddr#initialize 
  0.16      0.000     0.000     0.000     0.000        2   ActionView::Helpers::TagHelper#tag_options 
  0.15      0.000     0.000     0.000     0.000       21   Fixnum#to_s 
  0.15      0.000     0.000     0.000     0.000        4   ActionView::AssetPaths#is_uri? 
  0.15      0.006     0.000     0.000     0.006        1   WelcomeController#_run__4041318907781275276__process_action__3799093377713994959__callbacks 
  0.15      0.000     0.000     0.000     0.000        3  *BrowsingTest#_run__446260179275634336__setup__4286204378610978101__callbacks 
  0.15      0.000     0.000     0.000     0.000       10   Set#include? 
  0.15      0.000     0.000     0.000     0.000        5   MatchData#[] 
  0.15      0.000     0.000     0.000     0.000        3   ActionDispatch::Response#body= 
  0.15      0.000     0.000     0.000     0.000        1   URI::Generic#merge 
  0.15      0.000     0.000     0.000     0.000       10   String#[] 
  0.15      0.000     0.000     0.000     0.000        6   ActionDispatch::Response#[] 
  0.14      0.000     0.000     0.000     0.000        2   ActionDispatch::Http::MimeNegotiation#formats 
  0.14      0.000     0.000     0.000     0.000        8   <Class::ActiveRecord::Base>#connection_id 
  0.14      0.000     0.000     0.000     0.000        4   Array#extract_options! 
  0.14      0.000     0.000     0.000     0.000       14   Kernel#kind_of? 
  0.14      0.005     0.000     0.000     0.005        1   ActionView::TemplateRenderer#render 
  0.14      0.000     0.000     0.000     0.000        7   Regexp#match 
  0.14      0.000     0.000     0.000     0.000       11   Rails::Application#config 
  0.14      0.000     0.000     0.000     0.000        2   AbstractController::ViewPaths#_prefixes 
  0.14      0.000     0.000     0.000     0.000        6   <Class::ActiveRecord::LogSubscriber>#runtime 
  0.14      0.000     0.000     0.000     0.000        6   <Class::ActiveRecord::LogSubscriber>#runtime= 
  0.14      0.000     0.000     0.000     0.000        1   Journey::GTG::Simulator#simulate 
  0.14      0.000     0.000     0.000     0.000        5   ActiveSupport::HashWithIndifferentAccess#convert_key 
  0.14      0.000     0.000     0.000     0.000        4   Sprockets::Helpers::RailsHelper#asset_paths 
  0.14      0.000     0.000     0.000     0.000        4   <Class::ActiveRecord::LogSubscriber>#reset_runtime 
  0.13      0.000     0.000     0.000     0.000        6   ActiveSupport::TaggedLogging#current_tags 
  0.13      0.000     0.000     0.000     0.000       16   String#initialize 
  0.13      0.015     0.000     0.000     0.015        1   Rack::Runtime#call 
  0.13      0.012     0.000     0.000     0.012        1   Rack::ETag#call 
  0.13      0.000     0.000     0.000     0.000       15   Mutex#lock 
  0.13      0.000     0.000     0.000     0.000        2   Sprockets::Helpers::RailsHelper#debug_assets? 
  0.13      0.000     0.000     0.000     0.000       15   String#empty? 
  0.13      0.000     0.000     0.000     0.000        4   ActionView::LookupContext::ViewPaths#args_for_lookup 
  0.13      0.000     0.000     0.000     0.000        3   Object#try 
  0.13      0.001     0.000     0.000     0.001        6   ActiveSupport::Notifications::Fanout#publish 
  0.13      0.001     0.000     0.000     0.001        2   Sprockets::Helpers::RailsHelper#asset_path 
  0.13      0.000     0.000     0.000     0.000        1   Rack::Request#cookies 
  0.13      0.001     0.000     0.000     0.001        8   ActiveSupport::Notifications::Fanout::Subscriber#publish 
  0.13      0.000     0.000     0.000     0.000        3   Sprockets::Helpers::RailsHelper#digest_assets? 
  0.12      0.000     0.000     0.000     0.000       11   Array#include? 
  0.12      0.000     0.000     0.000     0.000        3   Rack::Utils::KeySpaceConstrainedParams#to_params_hash 
  0.12      0.000     0.000     0.000     0.000        2   ActionDispatch::Http::MimeNegotiation#content_mime_type 
  0.12      0.000     0.000     0.000     0.000        3   <Class::Array>#wrap 
  0.12      0.000     0.000     0.000     0.000        4   ActionView::AssetPaths#rewrite_host_and_protocol 
  0.12      0.000     0.000     0.000     0.000        7   Rack::Request#initialize 
  0.12      0.014     0.000     0.000     0.014        6  *ActiveSupport::Callbacks#run_callbacks 
  0.12      0.000     0.000     0.000     0.000        6   Time#minus_with_duration 
  0.12      0.000     0.000     0.000     0.000        4   ActionView::Resolver#caching? 
  0.12      0.000     0.000     0.000     0.000        3   Rack::BodyProxy#respond_to? 
  0.12      0.000     0.000     0.000     0.000        5   Rack::Request#query_string 
  0.12      0.000     0.000     0.000     0.000       16   Array#first 
  0.12      0.000     0.000     0.000     0.000        6   URI::Generic#userinfo 
  0.12      0.000     0.000     0.000     0.000        4   ActionView::LookupContext::ViewPaths#detail_args_for 
  0.12      0.006     0.000     0.000     0.006        1   ActiveRecord::Railties::ControllerRuntime#cleanup_view_runtime 
  0.12      0.000     0.000     0.000     0.000       15   Mutex#unlock 
  0.12      0.000     0.000     0.000     0.000        4   Rack::Session::Abstract::OptionsHash#[] 
  0.12      0.000     0.000     0.000     0.000       22   Fixnum#+ 
  0.12      0.000     0.000     0.000     0.000        6   ActionController::LogSubscriber#logger 
  0.12      0.000     0.000     0.000     0.000        2   Rack::Utils#parse_nested_query 
  0.12      0.000     0.000     0.000     0.000        4   ActionView::PathSet#find_all 
  0.12      0.000     0.000     0.000     0.000       13   Hash#keys 
  0.11      0.000     0.000     0.000     0.000        1   ActionController::LogSubscriber#start_processing 
  0.11      0.000     0.000     0.000     0.000       14   Module#name 
  0.11      0.001     0.000     0.000     0.001        2  *<Class::AbstractController::Base>#action_methods 
  0.11      0.000     0.000     0.000     0.000        2   ActionDispatch::Http::Parameters#normalize_parameters 
  0.11      0.000     0.000     0.000     0.000        5   Rack::Request#path_info 
  0.11      0.000     0.000     0.000     0.000        1   IPAddr#include? 
  0.11      0.011     0.000     0.000     0.011        1   ActionController::Metal#dispatch 
  0.11      0.000     0.000     0.000     0.000        7   Array#eql? 
  0.11      0.000     0.000     0.000     0.000        6   Enumerable#find_all 
  0.11      0.011     0.000     0.000     0.011        1   ActionDispatch::Routing::RouteSet::Dispatcher#dispatch 
  0.11      0.000     0.000     0.000     0.000       12   Symbol#to_sym 
  0.11      0.000     0.000     0.000     0.000       11   Thread#[]= 
  0.11      0.000     0.000     0.000     0.000        2   ActionView::LookupContext#formats= 
  0.11      0.000     0.000     0.000     0.000        1   ActionDispatch::Response#assign_default_content_type_and_charset! 
  0.11      0.000     0.000     0.000     0.000        9   String#upcase 
  0.11      0.000     0.000     0.000     0.000        6   Kernel#!~ 
  0.11      0.000     0.000     0.000     0.000        2   Hash#each_key 
  0.11      0.013     0.000     0.000     0.013        1   ActionDispatch::Flash#call 
  0.11      0.000     0.000     0.000     0.000        7   Array#pop 
  0.11      0.000     0.000     0.000     0.000        2   ActionDispatch::Http::Upload#normalize_parameters 
  0.11      0.000     0.000     0.000     0.000        6   String#encoding_aware? 
  0.11      0.000     0.000     0.000     0.000        5   Array#uniq 
  0.11      0.001     0.000     0.000     0.001        2   ActiveSupport::Inflector#apply_inflections 
  0.11      0.000     0.000     0.000     0.000        5   Hash#merge! 
  0.11      0.000     0.000     0.000     0.000        2   ActionDispatch::Http::Cache::Response#prepare_cache_control! 
  0.11      0.014     0.000     0.000     0.014        1   Rails::Rack::Logger#call_app 
  0.11      0.000     0.000     0.000     0.000        3   ActiveSupport::InheritableOptions#initialize 
  0.11      0.000     0.000     0.000     0.000        6   #<Class:0x007fea24ebe798>#logger 
  0.11      0.000     0.000     0.000     0.000        2   ActionView::Helpers::ControllerHelper#params 
  0.11      0.001     0.000     0.000     0.001        1   Journey::Router#find_routes 
